"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Brazil","BRA",182331540,0.776699612653364,2,26,2,3,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,2,1,1,1,,1,1,1,1,2,,2,2,1,2,2,2,1,,3,2,1,1,1,,,1,1,,,1,1,1,2,,,1,1,1,2,,,1,2,2,,,,,2,,,,,,2,2,2,3,1,2,,1,1,1,4,4,4,1,1,1,1,1,1
"Brazil","BRA",114622507,0.328727081375566,2,25,3,5,1,,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,2,,1,1,1,1,1,,2,1,,2,2,2,2,,1,1,2,2,,,,2,,,,2,,,,,,1,2,1,2,,,2,1,2,2,2,2,2,2,,,,,,2,3,2,3,3,1,,1,1,1,3,4,4,4,5,1,1,1,1
"Brazil","BRA",162973005,5.94719897406778,1,52,1,1,2,,1,1,0,,,1,1,2,2,2,2,,,,2,,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,4,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,2,1,2,,,2,,,,,,3,3,1,1,4,2,,0,0,4,1,4,4,2,5,1,2,1,0
"Brazil","BRA",132975344,0.734804877374859,2,23,2,3,1,,1,1,0,,,2,,,,,,,,,,,,,,,2,2,1,2,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,1,2,,,,1,2,2,2,2,,,,,,1,2,2,2,2,2,,1,2,2,2,2,1,2,,,,,,1,2,2,1,1,1,,1,0,3,1,4,4,4,4,1,1,1,0
"Brazil","BRA",148737028,1.72902574795504,2,15,2,5,2,,1,1,0,2,1,2,,,1,1,1,1,1,1,1,2,1,1,2,,,,,,,,,,,,,,2,2,,2,2,1,1,2,,2,2,,2,2,1,2,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,2,,3,,1,1,4,4,4,4,4,5,1,1,1,1
"Brazil","BRA",184465974,0.686877887252543,1,23,2,3,1,,1,1,1,2,2,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,,1,2,1,1,2,,2,2,,2,2,1,2,,3,1,1,2,,,,2,,,,1,1,2,2,,,1,2,1,1,,,2,2,2,,,,,2,,,,,,2,3,2,3,3,2,,1,1,1,4,4,4,1,5,1,1,1,1
"Brazil","BRA",122488762,1.01254664553922,1,48,1,2,1,,1,1,0,,,2,,,,,,,,,,,,,,,2,1,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,1,2,2,2,1,2,2,,,1,1,2,2,2,1,,,1,2,1,2,,,2,,,,,,2,2,2,3,2,2,,0,1,2,1,4,4,2,4,1,2,1,0
"Brazil","BRA",185233172,0.763883882108893,1,39,2,4,1,,1,1,1,1,2,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,,1,1,1,1,2,,1,1,,2,2,1,1,,3,2,2,1,1,,,1,1,,,1,1,1,2,,,1,2,1,1,,,2,1,2,2,1,,,2,,,,,,2,2,1,1,3,2,,1,1,1,1,4,4,1,1,1,1,1,1
"Brazil","BRA",118490060,0.796497945742354,2,44,2,5,1,,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,,,,,,,,,,,,,,2,2,,1,2,1,1,2,,2,1,,2,2,2,2,,3,3,2,2,,,,2,,,,1,1,1,2,,,1,2,2,1,,,2,2,2,,,,,2,,,,,,2,2,3,3,2,3,,1,1,1,4,4,4,1,5,1,1,1,1
"Brazil","BRA",124912107,0.223555133709581,1,56,3,5,1,,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,2,2,,1,1,1,1,2,,2,1,,2,2,2,2,,1,2,2,2,,,,2,,,,1,1,1,2,,,1,1,1,2,,,2,2,2,,,,,2,,,,,,2,2,2,2,1,2,,1,1,1,4,4,4,1,5,1,1,1,1
